fileID,datetime,H2O,O3,AOT,solar_z,blue_Edir,blue_Edif,blue_tau2,blue_Lp,green_Edir,green_Edif,green_tau2,green_Lp,red_Edir,red_Edif,red_tau2,red_Lp,nir_Edir,nir_Edif,nir_tau2,nir_Lp,swir1_Edir,swir1_Edif,swir1_tau2,swir1_Lp,swir2_Edir,swir2_Edif,swir2_tau2,swir2_Lp
LT51120661988099ASA00,1988-04-08T01:29:10,4.660000610351561,0.25,0.12200000137090684,39.37464141845703,1067.9894687166577,251.36198910547748,0.9037466518466273,30.232424252910786,1072.378933194711,175.01109119799747,0.912282898943221,15.411996612653002,973.8928204700751,118.54758276563176,0.9313795411080439,7.970470895547401,681.46572680152,53.893404109154375,0.9240798612687446,2.623623605567808,147.97086545128693,4.466929019197278,0.9241153831208363,0.09105194188415087,55.45988168730933,1.2795840677945305,0.9266965560862143,0.015178522375834813
LT51120661988227ASA00,1988-08-14T01:29:47,4.180000305175781,0.251,0.1313333362340927,43.060508728027344,951.8674494928911,248.5652718218928,0.9018364410323497,28.73057647076026,966.9200810796775,171.13203244675915,0.9112791072019361,14.479424601886281,880.0459352793362,118.03653184524904,0.930288285919971,7.598418276089508,617.9809173430732,55.444459872102705,0.9246346047449601,2.5790875578015244,135.27492404433147,4.657163310461624,0.9252844560802718,0.09052008613910102,50.69202582843706,1.3376254357316861,0.9274298048829003,0.015632245595210103
LT51120661988243ASA00,1988-08-30T01:29:52,3.939999389648437,0.257,0.1313333362340927,39.67708206176758,1027.517510725753,258.66953142849724,0.9016569171067197,29.810061641129955,1041.4657637953803,177.60668397861355,0.9115308420078205,14.979757234754596,945.7664816195692,121.99666878961399,0.9307390389137353,7.843352930370282,665.249604417962,57.47536260240204,0.9281323524166437,2.6692304320625015,145.08520466540872,4.794346085905729,0.9282692685957878,0.09544642674937466,54.412093187011976,1.3793731457297314,0.9306408614789426,0.01587939538136821
LT51120661988259ASA00,1988-09-15T01:29:49,4.469999694824219,0.253,0.18166667222976685,36.16071701049805,1020.9723593939714,321.2739345535537,0.890612281055435,32.8421909865176,1039.994890148313,232.5347457130043,0.9012613474546992,17.018795602628096,951.7022617142856,163.59677365607564,0.9214665568140399,9.165616211897255,674.8418952149377,78.27111449392702,0.9170478159397646,3.2539326595554825,150.19857589075224,6.6925317668434054,0.9208705670901186,0.13516489326144251,56.54865229194323,1.926285022146149,0.9237560295720095,0.021734051346383006
LT51120661988275ASA00,1988-10-01T01:29:43,3.680000305175781,0.264,0.23000000417232516,33.20230865478516,1008.4715255247154,381.48657154519793,0.8797431588867405,35.635835478670344,1034.6762655147766,285.3858588914933,0.8919367507088299,18.903809814334007,954.2822366558509,204.00966867371542,0.9136871580652004,10.412118423269735,688.8495016079662,99.69170638838133,0.9162394454712374,3.8367794957950863,156.12470170568338,8.63352282739756,0.9227354082122471,0.1746824115085425,58.96281573165015,2.486223649571443,0.9255117711500908,0.027434961563627305
LT51120661988291ASA00,1988-10-17T01:29:38,4.630000305175781,0.263,0.23000000417232516,31.483009338378906,1048.1632081071377,388.68134719079654,0.8797609033542404,36.53642756104386,1072.0823165932209,290.06666830835894,0.8906970322453718,19.373740856157088,987.0500492939782,207.17291787704082,0.912358830420001,10.662525104102077,706.504272453681,100.439127872949,0.9090521694718147,3.9155995621454758,159.93736139711916,8.68639809234642,0.916178721819747,0.1800682512905956,60.423399389489525,2.499308410818805,0.9193953124300906,0.027851224299567007
LT51120661988323ASA00,1988-11-18T01:29:39,4.8600006103515625,0.254,0.289000004529953,32.595149993896484,968.8327701248423,441.6861495904427,0.8668540900433449,38.99232257605644,1002.8064719759765,338.1780787179257,0.8795501654335107,21.26156340124622,932.4204546229587,245.65819829092362,0.9021076150023555,11.980857121325796,674.6471817649755,121.27924570529404,0.8982130619080256,4.530690131771871,156.66424362810565,10.834907506347719,0.9096468088510036,0.2173417059308515,59.400396137798644,3.1325956574136757,0.913233511169717,0.03479764760783258
LT51120661988339ASA00,1988-12-04T01:29:36,4.689999389648436,0.251,0.16033333539962769,34.57558441162109,1126.003074519486,313.46728981981454,0.8953590240960029,33.85077682202606,1140.3306760788341,222.67927812732194,0.9052663309095335,17.350089995596292,1037.5533906235376,155.0787972559912,0.9249072666806883,9.240624474462566,729.2383877380864,73.5988290905789,0.9182656590821842,3.2383466157172194,160.61860217023113,6.20761009821961,0.9208821300835325,0.13170681380729812,60.39217693702027,1.7831547639958696,0.9237634430305559,0.0203982898649427
LT51120661988355ASA00,1988-12-20T01:29:24,4.510000610351564,0.263,0.16033333539962769,36.57989501953125,1092.345095174491,311.28083212844365,0.8951460904860029,33.45245574223484,1107.565835623595,220.83508214596714,0.9045036479112618,17.0919665056318,1010.0822055104285,153.98407775723206,0.9245657767596484,9.111932557205938,712.2556897831731,73.20704755537332,0.9196792926495034,3.1911064380166265,157.1020844664587,6.193494290753222,0.9221495747570649,0.1272202804183415,59.06702974313178,1.7814606995082636,0.9249440342881048,0.020278934644899823
LT51120661989021ASA00,1989-01-21T01:29:03,4.6100006103515625,0.26,0.15549999475479126,38.845298767089844,1061.5509249964803,298.09965160752137,0.8961732773327703,32.626896705049674,1071.0415755933934,214.80656393372553,0.9049656950075458,16.921283344307568,979.2525062377489,148.80147129222746,0.925172219671903,8.938728533052277,692.2408297269467,69.20853831330162,0.9198382209420698,3.041676083573298,152.50200348269775,5.876562936202009,0.922011687350106,0.11584048027649389,57.29137939456333,1.6876081152131235,0.9247439659551268,0.019507823511129535
