"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1989,3,24,15,32,606792772.014,L4,LT41130531989084XXX01,0.0319895489779,0.0409530963804,0.037724431333,0.439966754559,0.218873496628,0.0409530963804,19.5800915245,19.7307923984,-0.150700873946,-0.154363970438,27.0
1989,4,25,15,33,609557598.287,L4,LT41130531989116XXX02,0.0338034561102,0.0544967929162,0.0557517961583,0.50952997842,0.393679514571,0.0557517961583,22.0254770694,21.2823681657,0.743108903715,0.77370265154,39.0
1992,5,27,15,23,707016219.465,L5,LT51130531992149BKT00,-0.0474381266074,0.21068778392,-0.078702738308,0.315327323404,1.37355150281,0.21068778392,3.85336401517,3.59318083384,0.26018318133,0.23138855384,35.0
1994,5,17,15,19,769223973.183,L5,LT51130531994138CLT00,0.0343018858155,0.0490088405593,0.0385958955523,0.381995228466,0.300087791834,0.0490088405593,18.4843131691,18.2587372127,0.225575956362,0.228612434143,74.0
1994,6,27,15,12,772765951.501,L5,LT51120531994179CLT00,0.0154516996857,0.0369832690764,0.0262908629814,0.417234659018,0.582197570102,0.0369832690764,15.5796075447,12.6802224472,2.89938509747,2.83435483472,56.0
1995,5,20,15,7,801018446.265,L5,LT51130531995141DKI00,0.00745774503698,0.0368175886237,0.0202974568544,0.406220369099,0.797440698434,0.0368175886237,19.5209260442,18.7389400784,0.781985965782,0.797523037211,76.0
1996,5,22,15,11,832813896.559,L5,LT51130531996144CLT00,0.0187355464178,0.0303974858034,0.025800861683,0.434307322758,0.383648156332,0.0303974858034,18.6095509009,17.5102878942,1.09926300669,1.11116480078,111.0
1996,10,13,15,19,845255959.631,L5,LT51130531996288CLT00,0.00362932084605,0.0106869822081,0.005360019577,0.374203782296,0.660397970597,0.0106869822081,18.4391509847,17.5315222306,0.90762875408,0.91688357604,76.0
1996,11,30,15,21,849403297.771,L5,LT51130531996336CLT00,-0.0187585351982,0.00090642977547,-0.0239604275961,0.298468370167,27.4338487598,0.00090642977547,13.5360373224,13.0217169067,0.514320415741,0.499077433157,109.0
1997,5,9,15,28,863227695.535,L5,LT51130531997130DKI00,0.0563974775397,0.0711447087871,0.0624497208672,0.401733103048,0.207285004026,0.0711447087871,17.8192683428,17.0627099486,0.756558394149,0.76079100015,13.0
1999,9,28,15,53,938569985.418,L7,LE71130531999272SGS00,0.0507169131017,0.0789042891279,0.0545892122047,0.35622951151,0.357235029144,0.0789042891279,20.6090405775,21.7872359262,-1.17819534869,-1.22217274164,13.0
1999,10,7,15,46,939347216.38,L7,LE71120531999281SGS01,0.00540901571932,0.0369545210723,0.0156754498603,0.387574732787,0.853630474368,0.0369545210723,22.6396456528,23.0065210924,-0.366875439642,-0.385594623712,96.0
2000,2,11,15,34,950319246.303,L5,LT51130532000043DKI00,0.0727101894285,0.104891641981,0.0898199135502,0.421944022433,0.306806642979,0.104891641981,13.0876461077,12.5683859587,0.519260149004,0.501887054584,30.0
2001,7,31,15,49,996630553.365,L7,LE71130532001213DKI00,-0.0249425434366,-0.0102996952754,-0.0269636971807,0.31311856384,-1.61791212844,-0.0102996952754,12.6902915624,11.7854189818,0.904872580545,0.870072150432,56.0
2002,3,28,15,48,1017366533.132,L7,LE71130532002088EDC00,0.000300928649166,0.00657401282114,-0.00211675507477,0.286968352454,1.32198827906,0.00657401282114,21.3456813849,22.1946954381,-0.849014053247,-0.884800121059,91.0
2002,10,6,15,47,1033955267.081,L7,LE71130532002280EDC00,-0.00661607676579,0.00982201401605,0.000126157602501,0.401693202065,1.6735967547,0.00982201401605,21.0257992398,21.6307922242,-0.604992984391,-0.628239295191,125.0
2002,12,25,15,48,1040867305.469,L7,LE71130532002360EDC00,-0.0417112995806,-0.0312417320242,-0.0480497656846,0.270481780398,-0.53799941845,-0.0312417320242,14.5618442356,15.1265185311,-0.564674295526,-0.555425473108,62.0
2003,3,15,15,48,1047779328.187,L7,LE71130532003075EDC00,0.0290859114953,0.0388169056722,0.032482710039,0.391511673627,0.25068959023,0.0388169056722,19.6386924588,19.4608713981,0.177821060762,0.181984712413,14.0
2004,3,25,15,39,1080265150.861,L5,LT51130532004086BKT00,0.249447120338,0.263036897929,0.225938535455,0.227719575225,0.141038625249,0.263036897929,8.47734227238,4.49633898902,3.98100328336,3.63373975984,61.0
2004,3,26,15,43,1080351790.863,L7,LE71120532004087EDC01,-0.0144452914868,-0.00776280720639,-0.0081851157659,0.489467276395,-0.860833472055,-0.00776280720639,19.3306517488,17.0728623942,2.25778935459,2.28493946976,23.0
2004,9,1,15,43,1094089413.804,L5,LT51130532004246BKT01,0.0454227340662,0.0614676318151,0.0576645852859,0.460495785132,0.261030029548,0.0614676318151,19.5677406778,19.0442899597,0.523450718039,0.534629581085,4.0
2005,8,19,15,48,1124502488.494,L5,LT51130532005232BKT00,-0.00218413091458,0.00471790323529,0.00514011659559,0.50960766185,1.42491855466,0.00514011659559,16.6801376278,14.8844768617,1.79566076611,1.78050902371,3.0
2005,10,14,15,49,1129340951.929,L7,LE71130532005288EDC00,0.0471622567212,0.0631028887369,0.0732745941568,0.56492273014,0.356362771245,0.0732745941568,18.4756714865,15.2400142735,3.23565721301,3.23779529739,41.0
2005,10,22,15,48,1130032087.579,L5,LT51130532005296BKT00,0.0377062106441,0.0646770111113,0.0482401915099,0.398428304458,0.417007527153,0.0646770111113,20.3630354805,19.8133964906,0.549638989842,0.565007333191,90.0
