system:index,H2O,O3,date,doy,solar_z,swir,tir,vnir,.geo
20061215025909,4.839999389648438,0.257,2006-12-15T02:59:09,349.1244097222222,25.898306000000005,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=7.748427599999999, tir2=8.514323999999998, tir3=9.041480000000002, tir4=9.122463200000002, tir5=8.662004999999999}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9352.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20070210025341,4.769999694824219,0.246,2007-02-10T02:53:41,41.120613425925924,27.878258000000002,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9122, red=9154, nir=9113}, cloud=9122.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20070305025957,4.65,0.243,2007-03-05T02:59:57,64.12496527777778,25.378469999999993,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20070422025947,5.619999694824219,0.244,2007-04-22T02:59:47,112.12484953703704,30.067479,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=6.741901342105258, tir2=7.370424999999997, tir3=7.84236013157894, tir4=7.9574406885964954, tir5=7.589679166666661}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=4062.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20071015025935,4.019999694824219,0.258,2007-10-15T02:59:35,288.12471064814815,19.255077,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=7.656201705069127, tir2=8.261851797235023, tir3=8.700136221198152, tir4=8.788208018433174, tir5=8.441625576036865}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=5146.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20071031025919,5.189999389648437,0.243,2007-10-31T02:59:19,304.12452546296294,19.065456999999995,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20071109025258,4.85,0.252,2007-11-09T02:52:58,313.12011574074074,21.785645000000002,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=7.625480000000004, tir2=8.29897111111111, tir3=8.80716888888889, tir4=8.944862685185184, tir5=8.562130092592591}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=7503.0, lake=10.0}, mean_radiance={green=110.71377777777779, red=85.904, nir=52.96511111111111}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20071125025312,3.85,0.26,2007-11-25T02:53:12,329.1202777777778,24.560852999999994,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=8.130945409090904, tir2=8.799874999999997, tir3=9.283562651515155, tir4=9.426831681818184, tir5=9.019062500000002}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=64, red=59, nir=69}, cloud=0.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20080128025332,4.219999694824219,0.256,2008-01-28T02:53:32,28.120509259259258,28.731426,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=7.2694429411764725, tir2=7.977068823529413, tir3=8.484431176470588, tir4=8.607815999999998, tir5=8.205555147058822}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9060.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20080408025930,4.819999694824219,0.254,2008-04-08T02:59:30,99.12465277777778,27.901181,false,"{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20080713025957,4.219999694824219,0.262,2008-07-13T02:59:57,195.1249652777778,38.315381,false,"{bkgd_rad={tir1=7.583688933333323, tir2=8.195764444444443, tir3=8.653093061728402, tir4=8.82195714074073, tir5=8.509460802469139}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=1144.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20080729025953,4.3,0.253,2008-07-29T02:59:53,211.12491898148147,36.033634,false,"{bkgd_rad={tir1=7.907291217391305, tir2=8.533661739130434, tir3=9.02887304347826, tir4=9.180086260869565, tir5=8.777772826086954}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=7988.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20080814025955,4.380000305175781,0.251,2008-08-14T02:59:55,227.12494212962963,32.737111,false,"{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20081229025411,5.230000305175781,0.248,2008-12-29T02:54:11,364.1209606481481,28.120731999999997,false,"{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
