system:index,H2O,LEDAPS,O3,date,doy,solar_z,swir,tir,vnir,.geo
LE70810711999255EDC00,3.8699996948242186,"{cloud_count=0.0, shadow_count=0.0, water_count=2125.0, snow_count=0.0, lake_SR={blue=0.1695887999999999, green=0.1323628235294117, red=0.04212447058823525, nir=0.012747388235294265, swir1=0.002663905882352959, swir2=0.0017715294117646868}}",0.266,1999-09-12T22:42:20,255.94607136574075,35.86871337890625,"{swir1=0.5343298211021071, swir2=0.0958823129827538}","{bkgd_rad={tir1=8.353968429773655, tir2=8.352122677465713}, lake_rad={tir1=8.803130925143206, tir2=8.799379581875272}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2193.0}, mean_radiance={blue=102.0985051149437, green=68.01874085620719, red=23.081844332443218, nir=6.375780593734651}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712000098EDC00,3.3199996948242188,"{cloud_count=2882.0, shadow_count=70.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,2000-04-07T22:41:54,98.94576414351852,38.946937561035156,"{swir1=5.306017172737763, swir2=1.359369825446405}","{bkgd_rad={tir1=7.715498061075698, tir2=7.720588526558477}, lake_rad={tir1=8.305194203097086, tir2=8.311579963335625}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=832.0}, mean_radiance={blue=135.63460762225665, green=99.92932389332698, red=58.42136106124291, nir=30.838341312339672}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712001068EDC00,4.319999694824219,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,2001-03-09T22:39:49,68.94431868055555,35.67999267578125,"{swir1=2.6639948989377054, swir2=0.6902590603667849}","{bkgd_rad={tir1=7.845672739182797, tir2=7.849109126361269}, lake_rad={tir1=8.588969757001571, tir2=8.591726361311297}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2138.0}, mean_radiance={blue=114.35065608475117, green=80.49939049951823, red=38.27470298924103, nir=17.308402346494155}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712001116EDC01,3.8100006103515627,"{cloud_count=1488.0, shadow_count=34.0, water_count=1278.0, snow_count=0.0, lake_SR={blue=0.2550788732394367, green=0.19283090766823152, red=0.07425297339593134, nir=0.01946830985915491, swir1=0.010307668231611859, swir2=0.008922926447574293}}",0.2533416666666667,2001-04-26T22:39:33,116.94414108796296,42.80478286743164,"{swir1=2.431491805537183, swir2=0.6977021112640115}","{bkgd_rad={tir1=8.213848889221143, tir2=8.211470132280494}, lake_rad={tir1=9.113973959319052, tir2=9.113450737249467}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=1984.0}, mean_radiance={blue=126.18975564164501, green=86.57744650013986, red=39.14961979129622, nir=14.968826033174992}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712002087EDC00,5.1,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,2002-03-28T22:38:17,87.94326061342592,38.10096740722656,"{swir1=6.370349407034076, swir2=1.8426751184236745}","{bkgd_rad={tir1=7.097454515209696, tir2=7.099470182674364}, lake_rad={tir1=7.552394458133241, tir2=7.5536097764321}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=1472.0}, mean_radiance={blue=164.64459163209668, green=125.18045009478278, red=72.02591179246488, nir=38.772945475319155}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712002103EDC00,4.35,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.245,2002-04-13T22:38:17,103.94325784722223,40.6168098449707,"{swir1=null, swir2=null}","{bkgd_rad={tir1=3.4147356624235004, tir2=3.4172276469267255}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712002151EDC00,4.460000610351562,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.234,2002-05-31T22:38:06,151.94312747685186,48.91495895385742,"{swir1=0.6804334882582012, swir2=0.1530669437218255}","{bkgd_rad={tir1=8.158613269132974, tir2=8.15972623796022}, lake_rad={tir1=8.559172981303671, tir2=8.560148908573648}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2300.0}, mean_radiance={blue=174.31806772646698, green=143.36291344435318, red=77.50288201539412, nir=16.894521482716435}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712003042EDC00,3.4,"{cloud_count=0.0, shadow_count=0.0, water_count=2211.0, snow_count=0.0, lake_SR={blue=1.7951599728629581, green=0.41945463591135085, red=0.24391718679330612, nir=0.06708543645409343, swir1=0.0031647218453189625, swir2=0.0019156037991858977}}",0.26,2003-02-11T22:38:09,42.94316813657407,34.53852081298828,"{swir1=0.7343991388245882, swir2=0.13105207860028517}","{bkgd_rad={tir1=8.814057636022103, tir2=8.813139499544334}, lake_rad={tir1=8.880899287074147, tir2=8.880902148097096}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2313.0}, mean_radiance={blue=187.32350014877485, green=177.34906802113522, red=95.53612932600194, nir=20.008962711213833}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712003106EDC00,2.9100006103515623,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,2003-04-16T22:38:14,106.94322215277778,41.13810348510742,"{swir1=4.212830885384961, swir2=1.2547269426554384}","{bkgd_rad={tir1=8.107719907497668, tir2=8.105985753586703}, lake_rad={tir1=8.433101765625263, tir2=8.431480826924249}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2201.0}, mean_radiance={blue=171.57460116950125, green=148.55126760570312, red=85.71989495166049, nir=32.72922682123041}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LE70810712003122EDC00,3.8800003051757814,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,2003-05-02T22:38:15,122.94323293981482,44.10441589355469,"{swir1=1.113672357117338, swir2=0.2781883259504208}","{bkgd_rad={tir1=7.9077274721657105, tir2=7.907242107213053}, lake_rad={tir1=8.349696726975461, tir2=8.347968945267262}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2243.0}, mean_radiance={blue=99.40244553421843, green=68.8478142121409, red=27.149159577293585, nir=9.296764173307857}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
